interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2025-01-06T03:00:00-06:00,2025-01-06 09:00:00+00:00,2025-01-06T03:15:00-06:00,2025-01-06 09:15:00+00:00,SBEAN_BESS,62.73
2025-01-06T03:15:00-06:00,2025-01-06 09:15:00+00:00,2025-01-06T03:30:00-06:00,2025-01-06 09:30:00+00:00,SBEAN_BESS,62.69
2025-01-06T03:30:00-06:00,2025-01-06 09:30:00+00:00,2025-01-06T03:45:00-06:00,2025-01-06 09:45:00+00:00,SBEAN_BESS,62.02
2025-01-06T03:45:00-06:00,2025-01-06 09:45:00+00:00,2025-01-06T04:00:00-06:00,2025-01-06 10:00:00+00:00,SBEAN_BESS,68.49
2025-01-06T04:00:00-06:00,2025-01-06 10:00:00+00:00,2025-01-06T04:15:00-06:00,2025-01-06 10:15:00+00:00,SBEAN_BESS,76.23
2025-01-06T04:15:00-06:00,2025-01-06 10:15:00+00:00,2025-01-06T04:30:00-06:00,2025-01-06 10:30:00+00:00,SBEAN_BESS,75.79
2025-01-06T04:30:00-06:00,2025-01-06 10:30:00+00:00,2025-01-06T04:45:00-06:00,2025-01-06 10:45:00+00:00,SBEAN_BESS,78.18
2025-01-06T04:45:00-06:00,2025-01-06 10:45:00+00:00,2025-01-06T05:00:00-06:00,2025-01-06 11:00:00+00:00,SBEAN_BESS,83.29
2025-01-06T05:00:00-06:00,2025-01-06 11:00:00+00:00,2025-01-06T05:15:00-06:00,2025-01-06 11:15:00+00:00,SBEAN_BESS,62.07
2025-01-06T05:15:00-06:00,2025-01-06 11:15:00+00:00,2025-01-06T05:30:00-06:00,2025-01-06 11:30:00+00:00,SBEAN_BESS,64.58
2025-01-06T05:30:00-06:00,2025-01-06 11:30:00+00:00,2025-01-06T05:45:00-06:00,2025-01-06 11:45:00+00:00,SBEAN_BESS,73.63
2025-01-06T05:45:00-06:00,2025-01-06 11:45:00+00:00,2025-01-06T06:00:00-06:00,2025-01-06 12:00:00+00:00,SBEAN_BESS,69.95
2025-01-06T06:00:00-06:00,2025-01-06 12:00:00+00:00,2025-01-06T06:15:00-06:00,2025-01-06 12:15:00+00:00,SBEAN_BESS,62.37
2025-01-06T06:15:00-06:00,2025-01-06 12:15:00+00:00,2025-01-06T06:30:00-06:00,2025-01-06 12:30:00+00:00,SBEAN_BESS,59.51
2025-01-06T06:30:00-06:00,2025-01-06 12:30:00+00:00,2025-01-06T06:45:00-06:00,2025-01-06 12:45:00+00:00,SBEAN_BESS,60.06
2025-01-06T06:45:00-06:00,2025-01-06 12:45:00+00:00,2025-01-06T07:00:00-06:00,2025-01-06 13:00:00+00:00,SBEAN_BESS,52.68
2025-01-06T07:00:00-06:00,2025-01-06 13:00:00+00:00,2025-01-06T07:15:00-06:00,2025-01-06 13:15:00+00:00,SBEAN_BESS,46.12
2025-01-06T07:15:00-06:00,2025-01-06 13:15:00+00:00,2025-01-06T07:30:00-06:00,2025-01-06 13:30:00+00:00,SBEAN_BESS,44.43
2025-01-06T07:30:00-06:00,2025-01-06 13:30:00+00:00,2025-01-06T07:45:00-06:00,2025-01-06 13:45:00+00:00,SBEAN_BESS,39.95
2025-01-06T07:45:00-06:00,2025-01-06 13:45:00+00:00,2025-01-06T08:00:00-06:00,2025-01-06 14:00:00+00:00,SBEAN_BESS,37.92
2025-01-06T08:00:00-06:00,2025-01-06 14:00:00+00:00,2025-01-06T08:15:00-06:00,2025-01-06 14:15:00+00:00,SBEAN_BESS,39.63
2025-01-06T08:15:00-06:00,2025-01-06 14:15:00+00:00,2025-01-06T08:30:00-06:00,2025-01-06 14:30:00+00:00,SBEAN_BESS,31.87
2025-01-06T08:30:00-06:00,2025-01-06 14:30:00+00:00,2025-01-06T08:45:00-06:00,2025-01-06 14:45:00+00:00,SBEAN_BESS,25.23
2025-01-06T08:45:00-06:00,2025-01-06 14:45:00+00:00,2025-01-06T09:00:00-06:00,2025-01-06 15:00:00+00:00,SBEAN_BESS,19.04
2025-01-06T09:00:00-06:00,2025-01-06 15:00:00+00:00,2025-01-06T09:15:00-06:00,2025-01-06 15:15:00+00:00,SBEAN_BESS,19.75
2025-01-06T09:15:00-06:00,2025-01-06 15:15:00+00:00,2025-01-06T09:30:00-06:00,2025-01-06 15:30:00+00:00,SBEAN_BESS,18.39
2025-01-06T09:30:00-06:00,2025-01-06 15:30:00+00:00,2025-01-06T09:45:00-06:00,2025-01-06 15:45:00+00:00,SBEAN_BESS,18.22
2025-01-06T09:45:00-06:00,2025-01-06 15:45:00+00:00,2025-01-06T10:00:00-06:00,2025-01-06 16:00:00+00:00,SBEAN_BESS,19.32
2025-01-06T10:00:00-06:00,2025-01-06 16:00:00+00:00,2025-01-06T10:15:00-06:00,2025-01-06 16:15:00+00:00,SBEAN_BESS,19.63
2025-01-06T10:15:00-06:00,2025-01-06 16:15:00+00:00,2025-01-06T10:30:00-06:00,2025-01-06 16:30:00+00:00,SBEAN_BESS,21.2
2025-01-06T10:30:00-06:00,2025-01-06 16:30:00+00:00,2025-01-06T10:45:00-06:00,2025-01-06 16:45:00+00:00,SBEAN_BESS,22.7
2025-01-06T10:45:00-06:00,2025-01-06 16:45:00+00:00,2025-01-06T11:00:00-06:00,2025-01-06 17:00:00+00:00,SBEAN_BESS,22.85
2025-01-06T11:00:00-06:00,2025-01-06 17:00:00+00:00,2025-01-06T11:15:00-06:00,2025-01-06 17:15:00+00:00,SBEAN_BESS,24.05
2025-01-06T11:15:00-06:00,2025-01-06 17:15:00+00:00,2025-01-06T11:30:00-06:00,2025-01-06 17:30:00+00:00,SBEAN_BESS,24.02
2025-01-06T11:30:00-06:00,2025-01-06 17:30:00+00:00,2025-01-06T11:45:00-06:00,2025-01-06 17:45:00+00:00,SBEAN_BESS,23.37
2025-01-06T11:45:00-06:00,2025-01-06 17:45:00+00:00,2025-01-06T12:00:00-06:00,2025-01-06 18:00:00+00:00,SBEAN_BESS,23.24
2025-01-06T12:00:00-06:00,2025-01-06 18:00:00+00:00,2025-01-06T12:15:00-06:00,2025-01-06 18:15:00+00:00,SBEAN_BESS,22.68
2025-01-06T12:15:00-06:00,2025-01-06 18:15:00+00:00,2025-01-06T12:30:00-06:00,2025-01-06 18:30:00+00:00,SBEAN_BESS,22.19
2025-01-06T12:30:00-06:00,2025-01-06 18:30:00+00:00,2025-01-06T12:45:00-06:00,2025-01-06 18:45:00+00:00,SBEAN_BESS,23.58
2025-01-06T12:45:00-06:00,2025-01-06 18:45:00+00:00,2025-01-06T13:00:00-06:00,2025-01-06 19:00:00+00:00,SBEAN_BESS,23.34
2025-01-06T13:00:00-06:00,2025-01-06 19:00:00+00:00,2025-01-06T13:15:00-06:00,2025-01-06 19:15:00+00:00,SBEAN_BESS,23.06
2025-01-06T13:15:00-06:00,2025-01-06 19:15:00+00:00,2025-01-06T13:30:00-06:00,2025-01-06 19:30:00+00:00,SBEAN_BESS,23.46
2025-01-06T13:30:00-06:00,2025-01-06 19:30:00+00:00,2025-01-06T13:45:00-06:00,2025-01-06 19:45:00+00:00,SBEAN_BESS,22.12
2025-01-06T13:45:00-06:00,2025-01-06 19:45:00+00:00,2025-01-06T14:00:00-06:00,2025-01-06 20:00:00+00:00,SBEAN_BESS,19.81
2025-01-06T14:00:00-06:00,2025-01-06 20:00:00+00:00,2025-01-06T14:15:00-06:00,2025-01-06 20:15:00+00:00,SBEAN_BESS,19.01
2025-01-06T14:15:00-06:00,2025-01-06 20:15:00+00:00,2025-01-06T14:30:00-06:00,2025-01-06 20:30:00+00:00,SBEAN_BESS,18.66
2025-01-06T14:30:00-06:00,2025-01-06 20:30:00+00:00,2025-01-06T14:45:00-06:00,2025-01-06 20:45:00+00:00,SBEAN_BESS,20.72
2025-01-06T14:45:00-06:00,2025-01-06 20:45:00+00:00,2025-01-06T15:00:00-06:00,2025-01-06 21:00:00+00:00,SBEAN_BESS,18.52
2025-01-06T15:00:00-06:00,2025-01-06 21:00:00+00:00,2025-01-06T15:15:00-06:00,2025-01-06 21:15:00+00:00,SBEAN_BESS,17.34
2025-01-06T15:15:00-06:00,2025-01-06 21:15:00+00:00,2025-01-06T15:30:00-06:00,2025-01-06 21:30:00+00:00,SBEAN_BESS,17.07
2025-01-06T15:30:00-06:00,2025-01-06 21:30:00+00:00,2025-01-06T15:45:00-06:00,2025-01-06 21:45:00+00:00,SBEAN_BESS,19.27
2025-01-06T15:45:00-06:00,2025-01-06 21:45:00+00:00,2025-01-06T16:00:00-06:00,2025-01-06 22:00:00+00:00,SBEAN_BESS,20.33
2025-01-06T16:00:00-06:00,2025-01-06 22:00:00+00:00,2025-01-06T16:15:00-06:00,2025-01-06 22:15:00+00:00,SBEAN_BESS,24.26
2025-01-06T16:15:00-06:00,2025-01-06 22:15:00+00:00,2025-01-06T16:30:00-06:00,2025-01-06 22:30:00+00:00,SBEAN_BESS,25.85
2025-01-06T16:30:00-06:00,2025-01-06 22:30:00+00:00,2025-01-06T16:45:00-06:00,2025-01-06 22:45:00+00:00,SBEAN_BESS,33.35
2025-01-06T16:45:00-06:00,2025-01-06 22:45:00+00:00,2025-01-06T17:00:00-06:00,2025-01-06 23:00:00+00:00,SBEAN_BESS,66.29
2025-01-06T17:00:00-06:00,2025-01-06 23:00:00+00:00,2025-01-06T17:15:00-06:00,2025-01-06 23:15:00+00:00,SBEAN_BESS,81.29
2025-01-06T17:15:00-06:00,2025-01-06 23:15:00+00:00,2025-01-06T17:30:00-06:00,2025-01-06 23:30:00+00:00,SBEAN_BESS,95.74
2025-01-06T17:30:00-06:00,2025-01-06 23:30:00+00:00,2025-01-06T17:45:00-06:00,2025-01-06 23:45:00+00:00,SBEAN_BESS,126.06
2025-01-06T17:45:00-06:00,2025-01-06 23:45:00+00:00,2025-01-06T18:00:00-06:00,2025-01-07 00:00:00+00:00,SBEAN_BESS,103.22
