interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2025-07-11T19:00:00-05:00,2025-07-12 00:00:00+00:00,2025-07-11T20:00:00-05:00,2025-07-12 01:00:00+00:00,SBEAN_BESS,39.42
2025-07-11T20:00:00-05:00,2025-07-12 01:00:00+00:00,2025-07-11T21:00:00-05:00,2025-07-12 02:00:00+00:00,SBEAN_BESS,62.57
2025-07-11T21:00:00-05:00,2025-07-12 02:00:00+00:00,2025-07-11T22:00:00-05:00,2025-07-12 03:00:00+00:00,SBEAN_BESS,57.13
2025-07-11T22:00:00-05:00,2025-07-12 03:00:00+00:00,2025-07-11T23:00:00-05:00,2025-07-12 04:00:00+00:00,SBEAN_BESS,58.31
2025-07-11T23:00:00-05:00,2025-07-12 04:00:00+00:00,2025-07-12T00:00:00-05:00,2025-07-12 05:00:00+00:00,SBEAN_BESS,51.51
2025-07-12T00:00:00-05:00,2025-07-12 05:00:00+00:00,2025-07-12T01:00:00-05:00,2025-07-12 06:00:00+00:00,SBEAN_BESS,44.87
2025-07-12T01:00:00-05:00,2025-07-12 06:00:00+00:00,2025-07-12T02:00:00-05:00,2025-07-12 07:00:00+00:00,SBEAN_BESS,45.28
2025-07-12T02:00:00-05:00,2025-07-12 07:00:00+00:00,2025-07-12T03:00:00-05:00,2025-07-12 08:00:00+00:00,SBEAN_BESS,40.67
2025-07-12T03:00:00-05:00,2025-07-12 08:00:00+00:00,2025-07-12T04:00:00-05:00,2025-07-12 09:00:00+00:00,SBEAN_BESS,42.24
2025-07-12T04:00:00-05:00,2025-07-12 09:00:00+00:00,2025-07-12T05:00:00-05:00,2025-07-12 10:00:00+00:00,SBEAN_BESS,40.65
2025-07-12T05:00:00-05:00,2025-07-12 10:00:00+00:00,2025-07-12T06:00:00-05:00,2025-07-12 11:00:00+00:00,SBEAN_BESS,38.66
2025-07-12T06:00:00-05:00,2025-07-12 11:00:00+00:00,2025-07-12T07:00:00-05:00,2025-07-12 12:00:00+00:00,SBEAN_BESS,36.2
